merchant_id,product_name,price,photo_url,stock,product_description,category,original_stock
8,Petsy Classic,0.57,https://s-media-cache-ak0.pinimg.com/originals/25/20/91/252091494cb31bd6bbab6e0459c2b72d.jpg,43,This painting comes right out of your heart. Let's make a happy little mountain now. We don't want to set these clouds on fire.,Dog Raincoats,48
18,Wetsy Classic,4.28,http://theverybesttop10.com/wp-content/uploads/2015/06/Top-10-Pictures-of-Pigs-in-Boots-3.jpg,15,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Cat Coats,20
10,Petsy Wetsy Classic,3.77,https://s-media-cache-ak0.pinimg.com/736x/7b/37/e9/7b37e944523c667c92372f65754f48e1.jpg,65,"We must be quiet, soft and gentle. You can create the world you want to see and be a part of. You have that power. The only prerequisite is that it makes you happy. If it makes you happy then it's good.",Cat Booties,70
5,Doggo Coat I,5.26,http://www.petpiggies.co.uk/wp-content/uploads/tea-cup-pig-petpiggies-wearing-hat.jpg,64,"We have a fantastic little sky! Only eight colors that you need. That is when you can experience true joy, when you have no fear. This is the fun part",Dog Booties,69
10,Doggo Coat II,3.97,http://pimm.barkpost.com/wp-content/uploads/2015/02/rainFT.jpg?q=70&fit=crop&crop=entropy&w=808&h=500,9,I really believe that if you practice enough you could paint the 'Mona Lisa' with a two-inch brush. Let's put some happy trees and bushes back in here. Do an almighty painting with us.,Dog Raincoats,14
11,The Original Cat Hat,2.56,https://s-media-cache-ak0.pinimg.com/originals/a4/3c/cf/a43ccfe4145b1e12480fc0b04e2624c8.jpg,60,We'll play with clouds today. Let's have a little bit of fun today. We don't really know where this goes - and I'm not sure we really care. Just make little strokes like that. You don't want to kill all your dark areas they are very important.,Cat Coats,65
5,The Improved Cat Hat,4.47,https://s-media-cache-ak0.pinimg.com/originals/fd/50/bf/fd50bfa720ba9a34c353f7f9ccc0c121.jpg,22,"Painting should do one thing. It should put happiness in your heart. Let your imagination be your guide. Don't be afraid to make these big decisions. Once you start, they sort of just make themselves. You can create the world you want to see and be a part of. You have that power. We can always carry this a step further. There's really no end to this.",Cat Booties,27
20,Petsy Classic,6.04,http://68.media.tumblr.com/37255427e425722058b5682ade2a8a1f/tumblr_oicubtu9eP1taaauno1_1280.jpg,93,"But we're not there yet, so we don't need to worry about it. Everybody's different. Trees are different. Let them all be individuals. And I will hypnotize that just a little bit. Each highlight must have it's own private shadow. Let's build some happy little clouds up here.",Dog Booties,98
6,Wetsy Classic,9.72,http://i.imgur.com/fSW7XjX.jpg,45,"Use what you see, don't plan it. We'll have a super time. Use your imagination, let it go.",Dog Raincoats,50
6,Petsy Wetsy Classic,7.55,https://68.media.tumblr.com/12b4b9d6a4d293fbdf8cfb3edb6b9c2b/tumblr_nl9uekjPV71u66dxwo1_1280.jpg,80,"It's cold, but it's beautiful. I'll go over the colors one more time that we use: Titanium white, Thalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red. In your imagination you can go anywhere you want.",Cat Coats,85
18,Doggo Coat I,3.29,http://img.allw.mn/content/www/2010/04/8-ways-to-dress-up-your-dog-or-cat/pet-raincoat_ways-dress-up-your-dog-cat.jpg,78,This painting comes right out of your heart. Let's make a happy little mountain now. We don't want to set these clouds on fire.,Cat Booties,83
